#   x           teo           exp
2.3115400e+00 -1.5928990e-03 -2.7891919e-03
2.3220470e+00 -1.5610030e-03 -1.5808818e-03
2.3325540e+00 -1.5102330e-03 -1.7715302e-03
2.3430610e+00 -1.4435730e-03 -1.7721619e-03
2.3535680e+00 -1.3639070e-03 -1.4594584e-03
2.3640750e+00 -1.2739810e-03 -2.2165888e-03
2.3745820e+00 -1.1763770e-03 -1.9513921e-03
2.3850890e+00 -1.0734930e-03 -1.4306824e-03
2.3955960e+00 -9.6752130e-04 -1.2436844e-03
2.4061030e+00 -8.6044360e-04 -7.1283088e-04
2.4166100e+00 -7.5402020e-04 -2.0581037e-04
2.4271170e+00 -6.4978940e-04 -1.3419909e-03
2.4376240e+00 -5.4906920e-04 -5.4261530e-04
2.4481310e+00 -4.5296220e-04 -5.5716084e-04
2.4586380e+00 -3.6236400e-04 -3.7707589e-04
2.4691450e+00 -2.7797370e-04 -4.2638408e-04
2.4796520e+00 -2.0030620e-04 -4.6741218e-04
2.4901590e+00 -1.2970660e-04 -1.8531061e-04
2.5006660e+00 -6.6365210e-05 -1.1086255e-04
2.5111730e+00 -1.0333460e-05 -1.9369034e-05
2.5216800e+00 3.8459590e-05 3.2399835e-05
2.5321870e+00 8.0191070e-05 3.5851660e-05
2.5426940e+00 1.1512810e-04 8.9468895e-05
2.5532010e+00 1.4361210e-04 3.3511557e-04
2.5637080e+00 1.6604410e-04 2.5230502e-04
2.5742150e+00 1.8287010e-04 1.6850618e-04
2.5847220e+00 1.9456860e-04 2.1619552e-04
2.5952290e+00 2.0163830e-04 3.2513666e-04
2.6057360e+00 2.0458720e-04 1.8315145e-04
2.6162430e+00 2.0392310e-04 2.7449365e-04
2.6267500e+00 2.0014530e-04 6.0341726e-05
2.6372570e+00 1.9373740e-04 1.6828806e-04
2.6477640e+00 1.8516120e-04 1.7421246e-04
2.6582710e+00 1.7485190e-04 9.3468888e-05
2.6687780e+00 1.6321460e-04 4.0030177e-05
2.6792850e+00 1.5062100e-04 1.0086253e-04
2.6897920e+00 1.3740830e-04 1.7089826e-04
2.7002990e+00 1.2387760e-04 9.5459298e-05
2.7108060e+00 1.1029400e-04 1.7780792e-04
2.7213130e+00 9.6886690e-05 1.1439221e-04
2.7318200e+00 8.3850470e-05 1.2691904e-04
2.7423270e+00 7.1346650e-05 6.3653819e-05
2.7528340e+00 5.9505120e-05 5.7114316e-05
2.7633410e+00 4.8426470e-05 6.1561637e-05
2.7738480e+00 3.8184250e-05 1.8735889e-06
2.7843550e+00 2.8827550e-05 6.6623754e-05
2.7948620e+00 2.0383520e-05 9.0331064e-06
2.8053690e+00 1.2860000e-05 7.7739327e-06
2.8158760e+00 6.2481010e-06 4.3197562e-06
2.8263830e+00 5.2472300e-07 9.0150450e-07
2.8368900e+00 -4.3450290e-06 -9.7556814e-07
2.8473970e+00 -8.4055590e-06 -1.2478624e-05
2.8579040e+00 -1.1708640e-05 -1.7940545e-05
2.8684110e+00 -1.4311470e-05 1.8917349e-06
2.8789180e+00 -1.6274850e-05 -2.3706785e-05
2.8894250e+00 -1.7661670e-05 -1.7613072e-05
2.8999320e+00 -1.8535430e-05 -1.2195179e-05
2.9104390e+00 -1.8959060e-05 -1.9577097e-05
2.9209460e+00 -1.8993930e-05 -1.4843249e-05
2.9314530e+00 -1.8698940e-05 -4.4111194e-05
2.9419600e+00 -1.8129870e-05 -2.1302576e-05
2.9524670e+00 -1.7338880e-05 -2.1892232e-05
2.9629740e+00 -1.6374070e-05 -1.9273838e-05
2.9734810e+00 -1.5279290e-05 -7.5941314e-06
2.9839880e+00 -1.4093930e-05 -1.4022871e-05
2.9944950e+00 -1.2852960e-05 -1.3795492e-06
3.0050020e+00 -1.1586920e-05 -2.0083068e-05
3.0155090e+00 -1.0322050e-05 -1.2453917e-05
3.0260160e+00 -9.0805260e-06 2.6974398e-08
3.0365230e+00 -7.8806040e-06 -1.4044478e-06
3.0470300e+00 -6.7369520e-06 -8.6007464e-07
3.0575370e+00 -5.6609140e-06 -9.2662220e-06
3.0680440e+00 -4.6608280e-06 -8.0559456e-06
3.0785510e+00 -3.7423340e-06 -1.2251869e-06
3.0890580e+00 -2.9087010e-06 -5.0184706e-06
3.0995650e+00 -2.1611350e-06 -4.9801802e-07
3.1100720e+00 -1.4990810e-06 -1.0255227e-06
3.1205790e+00 -9.2051560e-07 -1.1554610e-06
3.1310860e+00 -4.2221310e-07 -8.0200517e-07
3.1415930e+00 -4.4961260e-21 -4.5695771e-21
