#    x         f(x)
2.794862e+00 2.038352e-05
2.805369e+00 1.286000e-05
2.815876e+00 6.248101e-06
2.826383e+00 5.247230e-07
2.836890e+00 -4.345029e-06
2.847397e+00 -8.405559e-06
2.857904e+00 -1.170864e-05
2.868411e+00 -1.431147e-05
2.878918e+00 -1.627485e-05
2.889425e+00 -1.766167e-05
2.899932e+00 -1.853543e-05
2.910439e+00 -1.895906e-05
2.920946e+00 -1.899393e-05
2.931453e+00 -1.869894e-05
2.941960e+00 -1.812987e-05
2.952467e+00 -1.733888e-05
2.962974e+00 -1.637407e-05
2.973481e+00 -1.527929e-05
2.983988e+00 -1.409393e-05
2.994495e+00 -1.285296e-05
3.005002e+00 -1.158692e-05
3.015509e+00 -1.032205e-05
3.026016e+00 -9.080526e-06
3.036523e+00 -7.880604e-06
3.047030e+00 -6.736952e-06
3.057537e+00 -5.660914e-06
3.068044e+00 -4.660828e-06
3.078551e+00 -3.742334e-06
3.089058e+00 -2.908701e-06
3.099565e+00 -2.161135e-06
3.110072e+00 -1.499081e-06
3.120579e+00 -9.205156e-07
3.131086e+00 -4.222131e-07
3.141593e+00 -4.496126e-21
